aerolinea,codigo,origen,destino,tipoViaje,tipoDestino,horaSalida,horaLlegada,capacidad,costo,promocion,penalizacion
American Airlines,262,Buenos Aires,Miami,Directo,Internacional,1200,1900,200,580.00,PorTiempo,Ninguna
Avianca,263,Bogota,Buenos Aires,Directo,Internacional,1100,1500,160,350.00,PorTiempo,Ninguna
LATAM,264,Bogota,Santiago,Directo,Internacional,1300,1600,180,240.00,PorDistancia,Ninguna
Copa Airlines,265,Bogota,Panama,Directo,Internacional,1100,1300,160,200.00,PorTiempo,Ninguna
American Airlines,266,Miami,Buenos Aires,Directo,Internacional,1900,300,200,580.00,PorTiempo,Ninguna
LATAM,267,Miami,Santiago,Directo,Internacional,2200,600,200,520.00,PorTiempo,Ninguna
Copa Airlines,268,Miami,Panama,Directo,Internacional,1300,1600,180,290.00,Ninguna,Ninguna
Avianca,269,New York,Bogota,Directo,Internacional,1200,1600,200,490.00,PorDistancia,Ninguna
Air Canada,270,New York,Toronto,Directo,Internacional,900,1100,250,180.00,Ninguna,Ninguna
Lufthansa,271,New York,Frankfurt,Directo,Internacional,1000,2200,300,560.00,Ninguna,Ninguna
Air Canada,272,Los Angeles,Vancouver,Directo,Internacional,900,1100,250,180.00,PorTiempo,Ninguna
LATAM,273,Madrid,Lima,Directo,Internacional,600,1400,250,820.00,Ninguna,Ninguna
Iberia,274,Madrid,New York,Directo,Internacional,1000,1400,280,580.00,PorTiempo,Ninguna
Alitalia,275,Madrid,Roma,Directo,Internacional,1000,1200,250,190.00,PorDistancia,Ninguna
Iberia,276,Madrid,Amsterdam,Directo,Internacional,830,1030,250,160.00,Ninguna,Ninguna
British Airways,277,Londres,Buenos Aires,Directo,Internacional,700,1700,280,1020.00,PorDistancia,Ninguna
Singapore Airlines,278,Londres,Singapur,Directo,Internacional,1400,600,350,780.00,PorTiempo,Ninguna
Alitalia,279,Londres,Roma,Directo,Internacional,1000,1200,250,170.00,PorDistancia,Ninguna
Singapore Airlines,280,Frankfurt,Singapur,Directo,Internacional,800,600,280,780.00,PorTiempo,Ninguna
Qantas,281,Frankfurt,Sydney,Directo,Internacional,600,600,300,1100.00,PorTiempo,Ninguna
KLM,282,Amsterdam,Dubai,Directo,Internacional,800,1600,280,450.00,Ninguna,Ninguna
KLM,283,Amsterdam,Singapur,Directo,Internacional,800,600,280,780.00,Ninguna,Ninguna
Emirates,284,Dubai,Istanbul,Directo,Internacional,1200,1400,300,320.00,Ninguna,Ninguna
Korean Air,285,Seoul,Tokyo,Directo,Internacional,900,1100,280,180.00,PorDistancia,Ninguna
Korean Air,286,Seoul,Beijing,Directo,Internacional,700,850,250,150.00,PorTiempo,Ninguna
Korean Air,287,Seoul,Singapur,Directo,Internacional,700,1100,280,360.00,PorTiempo,Ninguna
Korean Air,288,Seoul,Los Angeles,Directo,Internacional,700,1200,300,820.00,PorDistancia,Ninguna
Air China,289,Beijing,Tokyo,Directo,Internacional,930,1150,280,220.00,PorTiempo,Ninguna
Air China,290,Beijing,Seoul,Directo,Internacional,850,1000,250,150.00,PorDistancia,Ninguna
Air China,291,Beijing,Singapur,Directo,Internacional,700,1100,280,380.00,Ninguna,Ninguna
Air China,292,Beijing,Frankfurt,Directo,Internacional,700,1300,300,900.00,Ninguna,Ninguna
Air China,293,Beijing,Los Angeles,Directo,Internacional,700,1300,300,880.00,PorDistancia,Ninguna
Thai Airways,294,Bangkok,Singapur,Directo,Internacional,830,1010,280,180.00,Ninguna,Ninguna
Thai Airways,295,Bangkok,Tokyo,Directo,Internacional,1100,1500,280,380.00,PorDistancia,Ninguna
Emirates,296,Bangkok,Dubai,Directo,Internacional,700,1100,300,380.00,PorTiempo,Ninguna
Thai Airways,297,Bangkok,Londres,Directo,Internacional,700,1400,300,780.00,PorDistancia,Ninguna
Air India,298,Mumbai,Dubai,Directo,Internacional,1100,1300,300,280.00,PorDistancia,Ninguna
Air India,299,Mumbai,Londres,Directo,Internacional,700,1300,300,580.00,PorTiempo,Ninguna
Lufthansa,300,Mumbai,Frankfurt,Directo,Internacional,700,1300,280,600.00,Ninguna,Ninguna
Air India,301,Mumbai,Singapur,Directo,Internacional,700,1100,280,380.00,Ninguna,Ninguna
Alitalia,302,Roma,Madrid,Directo,Internacional,1200,1400,250,190.00,PorTiempo,Ninguna
Alitalia,303,Roma,Paris,Directo,Internacional,1200,1400,250,160.00,PorDistancia,Ninguna
Lufthansa,304,Roma,Frankfurt,Directo,Internacional,1200,1400,250,160.00,Ninguna,Ninguna
British Airways,305,Roma,Londres,Directo,Internacional,1200,1400,250,170.00,PorTiempo,Ninguna
KLM,306,Roma,Amsterdam,Directo,Internacional,1200,1415,250,170.00,Ninguna,Ninguna
Copa Airlines,307,San Jose,Panama,Directo,Internacional,900,1010,150,130.00,Ninguna,Ninguna
American Airlines,308,San Jose,Miami,Directo,Internacional,700,1000,180,350.00,Ninguna,Ninguna
Avianca,309,San Jose,Bogota,Directo,Internacional,700,1000,150,280.00,Ninguna,Ninguna
Copa Airlines,310,Guatemala City,Panama,Directo,Internacional,1100,1240,150,160.00,PorTiempo,Ninguna
American Airlines,311,Guatemala City,Miami,Directo,Internacional,700,1000,180,370.00,Ninguna,Ninguna
Aeromexico,312,Guatemala City,Mexico City,Directo,Internacional,700,900,150,200.00,PorDistancia,Ninguna
American Airlines,313,Cancun,Miami,Directo,Internacional,1200,1400,180,210.00,Ninguna,Ninguna
Aeromexico,314,Cancun,Mexico City,Directo,Internacional,900,1100,180,180.00,Ninguna,Ninguna
American Airlines,315,Cancun,New York,Directo,Internacional,700,1100,200,320.00,Ninguna,Ninguna
Singapore Airlines,316,Singapur,Bangkok,Directo,Internacional,700,830,280,180.00,PorTiempo,Ninguna
Singapore Airlines,317,Singapur,Kuala Lumpur,Directo,Internacional,700,800,280,120.00,PorDistancia,Ninguna
Singapore Airlines,318,Singapur,Jakarta,Directo,Internacional,700,830,280,150.00,Ninguna,Ninguna
Singapore Airlines,319,Singapur,Frankfurt,Directo,Internacional,600,1400,280,760.00,PorTiempo,Ninguna
Air New Zealand,320,Auckland,Sydney,Directo,Internacional,1100,1300,200,280.00,PorDistancia,Ninguna
Air New Zealand,321,Auckland,Los Angeles,Directo,Internacional,1300,600,250,980.00,Ninguna,Ninguna
Air Canada,322,Vancouver,Toronto,Directo,Internacional,1300,1600,250,280.00,PorDistancia,Ninguna
Aeromexico,323,Mexico City,Los Angeles,Directo,Internacional,1300,1600,200,280.00,PorTiempo,Ninguna
Aeromexico,324,Mexico City,Cancun,Directo,Internacional,700,900,180,180.00,PorTiempo,Ninguna
LATAM,325,Sao Paulo,Buenos Aires,Directo,Internacional,700,900,200,200.00,PorTiempo,Ninguna
LATAM,326,Sao Paulo,Lima,Directo,Internacional,1400,1700,200,310.00,PorTiempo,Ninguna
Avianca,327,Sao Paulo,Bogota,Directo,Internacional,800,1100,180,320.00,Ninguna,Ninguna
LATAM,328,Sao Paulo,Miami,Directo,Internacional,1000,1500,200,480.00,Ninguna,Ninguna
Iberia,329,Sao Paulo,Madrid,Directo,Internacional,2200,1200,280,820.00,Ninguna,Ninguna
Lufthansa,330,Sao Paulo,Frankfurt,Directo,Internacional,2300,1300,280,900.00,Ninguna,Ninguna
GOL,331,Rio de Janeiro,Sao Paulo,Directo,Internacional,700,800,180,100.00,Ninguna,Ninguna
LATAM,332,Rio de Janeiro,Buenos Aires,Directo,Internacional,800,1100,180,210.00,Ninguna,Ninguna
LATAM,333,Rio de Janeiro,Lima,Directo,Internacional,700,1100,180,330.00,PorTiempo,Ninguna
American Airlines,334,Rio de Janeiro,Miami,Directo,Internacional,800,1400,200,500.00,PorDistancia,Ninguna
Iberia,335,Rio de Janeiro,Madrid,Directo,Internacional,2200,1200,280,840.00,PorDistancia,Ninguna
Avianca,336,Quito,Bogota,Directo,Internacional,900,1100,160,120.00,PorDistancia,Ninguna
LATAM,337,Quito,Lima,Directo,Internacional,800,1000,160,180.00,Ninguna,Ninguna
Copa Airlines,338,Quito,Panama,Directo,Internacional,700,900,150,200.00,PorDistancia,Ninguna
American Airlines,339,Quito,Miami,Directo,Internacional,700,1200,180,420.00,Ninguna,Ninguna
Avianca,340,Guayaquil,Bogota,Directo,Internacional,1120,1300,160,150.00,Ninguna,Ninguna
LATAM,341,Guayaquil,Lima,Directo,Internacional,700,830,160,160.00,Ninguna,Ninguna
Copa Airlines,342,Guayaquil,Panama,Directo,Internacional,700,910,150,210.00,PorTiempo,Ninguna
Conviasa,343,Caracas,La Paz,Directo,Internacional,1000,1300,150,310.00,Ninguna,Ninguna
Conviasa,344,Caracas,Bogota,Directo,Internacional,700,900,150,180.00,Ninguna,Ninguna
Copa Airlines,345,Caracas,Panama,Directo,Internacional,700,930,150,230.00,Ninguna,Ninguna
American Airlines,346,Caracas,Miami,Directo,Internacional,700,1100,180,400.00,PorDistancia,Ninguna
LATAM,347,Asuncion,Sao Paulo,Directo,Internacional,700,900,150,220.00,Ninguna,Ninguna
Aerolineas Argentinas,348,Asuncion,Buenos Aires,Directo,Internacional,700,900,150,180.00,PorTiempo,Ninguna
BoA,349,Asuncion,Santa Cruz,Directo,Internacional,700,930,100,200.00,Ninguna,Ninguna
Aerolineas Argentinas,350,Montevideo,Buenos Aires,Directo,Internacional,700,830,150,120.00,Ninguna,Ninguna
LATAM,351,Montevideo,Sao Paulo,Directo,Internacional,700,940,150,230.00,PorDistancia,Ninguna
LATAM,352,Montevideo,Santiago,Directo,Internacional,700,920,150,200.00,PorDistancia,Ninguna
Japan Airlines,353,Tokyo,Seoul,Directo,Internacional,700,900,280,180.00,PorTiempo,Ninguna
Japan Airlines,354,Tokyo,Beijing,Directo,Internacional,700,920,280,220.00,Ninguna,Ninguna
Japan Airlines,355,Tokyo,Shanghai,Directo,Internacional,700,910,280,200.00,PorTiempo,Ninguna
Japan Airlines,356,Tokyo,Bangkok,Directo,Internacional,700,1100,280,380.00,Ninguna,Ninguna
